Detailed Parameter,Grouped Parameter,Specific Metric,Nutrient,Reference,Experiment Type,Environment,General Taxon/Grouping,Species,Max Temp,Min Temp,Temp Range,Number of Temps Measured,Confident in Temps,Evidence of Temperature Dependence,Activation Energy,Error,Error Metric,Model Used,Single species or multiple?,Where to find in paper,Evidence that temp dependence differs between species,Notes,More Notes,Their Data or Dataset?
k: half saturation constant (nutrient uptake: nitrogen),k: nutrient uptake,k: nitrogen uptake,nitrogen,"Adam et al. (2003). Net nitrate uptake by red maple is a function of root‐zone temperature. Journal of Plant Nutrition: 26(1): 203-222
Activation energy calculated in: Marx et al. (2019). See full reference above",Lab,,Tree,Acer rubrum,34,14,20,3,Yes,Yes,0.29,NA,NA,Arrhenius,single species,Obtained from author,"Yes: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however).",The average activation energies include some species for which E was calculated from only two temperatures.,"temperature was only controlled at the roots, not the whole plant",dataset
k: half saturation constant (nutrient uptake: nitrogen),k: nutrient uptake,k: nitrogen uptake,nitrogen,"Cruz et al. (1993): Uptake of ammonium and nitrate by carob (Ceratonia siliqua) as affected by root temperature and inhibitors. Physiologia Plantarum: 89(3): 532-543
Activation energy calculated in: Marx et al. (2019). See full reference above",Lab,,Tree,Ceratonia siliqua,40,10,30,6,Yes,Yes,-0.16,NA,NA,Arrhenius,single species,Obtained from author,"Yes: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however).",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
k: half saturation constant (nutrient uptake: nitrogen),k: nutrient uptake,k: nitrogen uptake,nitrogen,"Smit (2002). Nitrogen uptake by Gracilaria gracilis (Rhodophyta): adaptations to a temporally variable nitrogen environment. Botanica Marina: 45(2): 196-209
Activation energy calculated in: Marx et al. (2019). See full reference above",Lab,Marine,Algae,Gracilaria gracilis,20,15,5,2,Yes,Yes,-0.03,NA,NA,Arrhenius,single species,Obtained from author,"Yes: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however).",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
k: half saturation constant (nutrient uptake: nitrogen),k: nutrient uptake,k: nitrogen uptake,nitrogen,"Lee & Dunton (1999). Inorganic nitrogen acquisition in the seagrass Thalassia testudinum: Development of a whole-plant nitrogen budget. Limnology and Oceanography: 44(5): 1204-1215
Activation energy calculated in: Marx et al. (2019). See full reference above",Lab,Marine,Algae,Thalassia testudinum,30,16,14,3,Yes,Yes,-0.03,NA,NA,Arrhenius,single species,Obtained from author,"Yes: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however).",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
k: half saturation constant (nutrient uptake: phosphorus),k: nutrient uptake,k: phosphorus uptake,phosphorus,"Khandan-Mirkohi & Schenk (2009). Characteristics of phosphorus uptake kinetics of poinsettia and marigold. Scientia Horticulturae: 122(2): 251-257
Activation energy calculated in: Marx et al. (2019). See full reference above",Lab,,Shrub,Euphorbia pulcherrima,25,15,10,3,Yes,Yes,0.1,NA,NA,Arrhenius,single species,Obtained from author,"Yes: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however).",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
k: half saturation constant (nutrient uptake: phosphorus),k: nutrient uptake,k: phosphorus uptake,phosphorus,"Khandan-Mirkohi & Schenk (2009). Characteristics of phosphorus uptake kinetics of poinsettia and marigold. Scientia Horticulturae: 122(2): 251-257
Activation energy calculated in: Marx et al. (2019). See full reference above",Lab,,Herb,Tagetes patula,25,15,10,3,Yes,Yes,0.03,NA,NA,Arrhenius,single species,Obtained from author,"Yes: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however).",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
m: mortality rate,mortality rate,mortality rate,NA,McCoy & Gillooly (2008). Predicting natural mortality rates of plants and animals. Ecology Letters: 11: 710-716,Field,,Phytoplankton,phytoplankton,NA,NA,NA,NA,NA,Yes,0.96,0.3,95% CI,Arrhenius,multiple species,"From Table 1
E=0.96
(Given as -0.96 in the paper, see notes)",,The activation energy for multicellular plants was not found to be significantly different from 0. ,"The paper reports activation energies where a negative value of E represents an increase in mortality rate with increasing temp. slopes from Arrhenius plots are used intechangeably with activation energies, which creates some confusion.","dataset:
Compiled by Marbà et al. (2009)"
m: mortality rate,mortality rate,mortality rate,NA,McCoy & Gillooly (2008). Predicting natural mortality rates of plants and animals. Ecology Letters: 11: 710-716,Field,,Multicellular plants,multicellular plants,NA,NA,NA,NA,NA,Yes,-0.13,0.15,95% CI,Arrhenius,multiple species,"From Table 1
E=-0.13 (multicellular plants)
(Given as 0.13 in the paper, see notes)",,The activation energy for multicellular plants was not found to be significantly different from 0. ,"The paper reports activation energies where a negative value of E represents an increase in mortality rate with increasing temp. slopes from Arrhenius plots are used intechangeably with activation energies, which creates some confusion.","dataset:
Compiled by Marbà et al. (2009)"
growth rate (r: intrinsic growth rate),growth rate,intrinsic growth rate,NA,Savage et al. (2004). Effects of body size and temperature on population growth. American Naturalist: 163(3): 429-441,Lab,,Algae,Algae,NA,NA,NA,NA,NA,Yes,0.53,0.22,95% CI,Arrhenius,multiple species,"From page 436
E=0.53 (given as -0.53)",,,,dataset
growth rate (r: intrinsic growth rate),growth rate,intrinsic growth rate,NA,"Lasfar et al. (2007). Intrinsic growth rate: A new approach to evaluate the effects of temperature, photoperiod and phosphorus–nitrogen concentrations on duckweed growth under controlled eutrophication. Water Research: 41(11): 2333-2340
Activation energy calculated by: Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596",Lab,Freshwater,Duckweed,Lemna minor,35,5,30,12,,Yes,1.09,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=1.09",,"The original paper uses a different model for temperature dependence, which they calculated model parameters for. (see Table 1 in Lasfar et al. (2007))",,"their data, part of Dell et al. (2011) dataset"
