Detailed Parameter,Simple Parameter,Reference,Species,Evidence of Temperature Dependence,Activation Energy,Single species or multiple?,Where to find in paper,Evidence that temp dependence differs between species,Notes,More Notes,Their Data or Dataset?
k: half saturation constant (nutrient uptake: phosphorus),half-saturation constant phosphorus uptake,Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514,"herb:
Tagetes patula",Yes,0.1,single species,"From Table 3
E=0.08 (nitrogen uptake)
E=0.22 (phosphorus uptake)","Yes: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however).",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
m: mortality rate,mortality rate,McCoy & Gillooly (2008). Predicting natural mortality rates of plants and animals. Ecology Letters: 11: 710-716,phytoplankton,Yes,0.96,multiple species,"From Table 1
E=0.96
(Given as -0.96 in the paper, see notes)",,The activation energy for multicellular plants was not found to be significantly different from 0. ,"The paper reports activation energies where a negative value of E represents an increase in mortality rate with increasing temp. slopes from Arrhenius plots are used intechangeably with activation energies, which creates some confusion.","dataset:
Compiled by Marbà et al. (2009)"
m: mortality rate,mortality rate,McCoy & Gillooly (2008). Predicting natural mortality rates of plants and animals. Ecology Letters: 11: 710-716,multicellular plants,Yes,-0.13,multiple species,"From Table 1
E=-0.13 (multicellular plants)
(Given as 0.13 in the paper, see notes)",,The activation energy for multicellular plants was not found to be significantly different from 0. ,"The paper reports activation energies where a negative value of E represents an increase in mortality rate with increasing temp. slopes from Arrhenius plots are used intechangeably with activation energies, which creates some confusion.","dataset:
Compiled by Marbà et al. (2009)"
growth rate (r: intrinsic growth rate),growth rate,Savage et al. (2004). Effects of body size and temperature on population growth. American Naturalist: 163(3): 429-441,Algae,Yes,0.53,multiple species,"From page 436
E=0.53 (given as -0.53)",,,,dataset
growth rate (r: intrinsic growth rate),growth rate,"Lasfar et al. (2007). Intrinsic growth rate: A new approach to evaluate the effects of temperature, photoperiod and phosphorus–nitrogen concentrations on duckweed growth under controlled eutrophication. Water Research: 41(11): 2333-2340
Activation energy calculated by: Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596",Duckweed: Lemna minor,Yes,1.09,single species,"From Dell et al. (2011) Table S3
E=1.09",,"The original paper uses a different model for temperature dependence, which they calculated model parameters for. (see Table 1 in Lasfar et al. (2007))",,"their data, part of Dell et al. (2011) dataset"
growth rate (µ: specific growth rate),growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Coelastrum microporum",Yes,0.5,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset"
growth rate (µ: specific growth rate),growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Selenastrum minutum",Yes,0.34,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset"
growth rate (µ: specific growth rate),growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Cosmarium subprotumidum",No,0,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset"
growth rate (µ: specific growth rate),growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Chlorella vulgaris",Yes,0.39,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
growth rate (µ: specific growth rate),growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Fragilaria crotonensis",Yes,0.47,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
