Detailed Parameter,Simple Parameter,Specific Metric,Reference,General Taxon/Grouping,Heterotroph or Autotroph,Species,Resource General,Resource Species,Temp Range,Number of Temps Measured,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Beetle,heterotroph,Harpalus rufipes (adult),Aphid,Sitobion avenae (juvenile),12.3-23.6,,Yes,0.89,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Damselfly,,Ischnura elegans (juvenile),Cladocera,Daphnia magna (adult),,,,,,,,,From Table S3,,"Same as Thompson paper above, calculated in Petchey et al. double check the numbers",,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Macrocheles muscaedomesticae (adult),House fly,Musca domestica (juvenile),15-33,4,Yes,0.85,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex (adult),Mosquito,Culicidae spp. (juvenile),5-25,4,Yes,0.52,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex (adult),Mosquito,Culicidae spp. (juvenile),5-25,4,Yes,0.53,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex (adult),Mosquito,Culicidae spp. (juvenile),5-25,4,Yes,0.57,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex (adult),Mosquito,Culicidae spp. (juvenile),5-25,4,Yes,0.58,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex (adult),Mosquito,Culicidae spp. (juvenile),5-25,4,Yes,0.6,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Notonecta glauca (adult),Mosquito,Culex pipiens (juvenile),5-25,5,Yes,0.76,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Notonecta glauca (adult),Mosquito,Culex pipiens (juvenile),5-25,5,Yes,1.1,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Notonecta hoffmani (adult),Mosquito,Culex pipiens (juvenile),10-25,4,Yes,1.1,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Sea snail,heterotroph,Nucella lapillus (adult),Mussel,Mytilus edulis (adult),3-25,8,Yes,0.91,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,True bug,heterotroph,Orius insidiosus (adult),Mite,Panonychus ulmi (adult),18.3-35,4,Yes,0.72,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Perca fluviatilis (adult),Midge,Chaoborus obscuripes (juvenile),4-20,5,Yes,0.8,,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Perca fluviatilis (adult),Midge,Chaoborus obscuripes (juvenile),4-20,5,Yes,0.99,,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Perca fluviatilis (adult),Midge,Chaoborus obscuripes (juvenile),12-21,4,Yes,0.46,,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Perca fluviatilis (adult),Midge,Chaoborus obscuripes (juvenile),12-21,4,Yes,0.53,,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis (adult),Mite,Tetranychus urticae (adult),15-30,4,Yes,0.46,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis (adult),Mite,Tetranychus urticae (adult),15-30,4,Yes,0.63,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis (adult),Mite,Tetranychus urticae (adult),15-30,4,Yes,0.65,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis (adult),Mite,Tetranychus urticae (adult),15-30,4,Yes,0.74,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis (adult),Mite,Tetranychus urticae (adult),15-30,4,Yes,0.85,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Sea snail,heterotroph,Polinices duplicatus (adult),Clam,Mya arenaria (adult),9.5-23,4,Yes,1.14,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Termite,heterotroph,Porotermes adamsoni (adult),Tree,Eucalyptus regnans (adult),11.5-24,4,Yes,0.74,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Termite,heterotroph,Porotermes adamsoni (adult),Tree,Eucalyptus viminalis (adult),11.5-24,4,Yes,0.65,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Termite,heterotroph,Porotermes adamsoni (adult),Tree,Pinus radiata (adult),9-26,5,Yes,0.77,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Ranatra dispar (adult),Aquatic insect,Anisops deanei (adult),15-30,4,Yes,0.51,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Ranatra dispar (adult),Aquatic insect,Anisops deanei (adult),15-30,4,Yes,0.56,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Rutilus rutilus (adult),Midge,Chaoborus obscuripes (juvenile),12-21,4,Yes,0.77,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Rutilus rutilus (adult),Midge,Chaoborus obscuripes (juvenile),12-21,4,Yes,0.86,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Rutilus rutilus (adult),Midge,Chaoborus obscuripes (juvenile),12-21,4,Yes,0.86,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Rutilus rutilus (adult),Midge,Chaoborus obscuripes (juvenile),12-21,4,Yes,0.92,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Rutilus rutilus (adult),Midge,Chaoborus obscuripes (juvenile),12-21,4,Yes,0.93,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Ladybug,heterotroph,Stethorus punctum (adult),Mite,Panonychus ulmi (adult),21-32.5,5,Yes,0.53,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Ladybug,heterotroph,Stethorus punctum (adult),Mite,Panonychus ulmi (adult),21-32.5,5,Yes,0.58,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Ladybug,heterotroph,Stethorus punctum (adult),Mite,Panonychus ulmi (adult),21-32.5,5,Yes,0.61,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Ladybug,heterotroph,Stethorus punctum (adult),Mite,Panonychus ulmi (adult),21-32.5,5,Yes,0.93,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Sea snail,heterotroph,Urosalpinx cinerea (adult),Oyster,Crassostrea virginica (juvenile),8.3-30,5,Yes,1.18,,,Arrhenius,single species,From Table S3,,,,dataset
w: conversion efficiency (individual growth),conversion efficiency,,"Person Le-Ruyet et al. (2004). Effects of temperature on growth and metabolism in a Mediterranean population of European sea bass, Dicentrarchus labrax. Aquaculture: 237(1): 269-280
Activation energy calculated in: Dell et al. (2011). See full reference above",Fish,heterotroph,Dicentrarchus labrax,dry food pellet,,13.4-28.8,6,Yes,0.39,,,Arrhenius,single species,"From Table S3 in Dell et al. (2011)
E=0.39",,,,"their data, part of Dell et al. (2011) dataset"
w: conversion efficiency (population growth),conversion efficiency,,"Rose et al. (2009). Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. ISME Journal: 3(2): 252-260
Activation energy calculated in: Dell et al. (2011). See full reference above",Protist,heterotroph,Paraphysomonas imperforata,Proteobacteria,Halomonas marina,0-20,5,Yes,0.23,,,Arrhenius,single species,"From Table S3 in Dell et al. (2011)
E=0.23",,,,"their data, part of Dell et al. (2011) dataset"
w: conversion efficiency (population growth),conversion efficiency,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282",Tintinnids (zooplankton),heterotroph,Tintinnopsis acuminata,Phytoplankton,Isochrysis galbana,,,Yes,-0.44,,,Arrhenius,single species,"I calculated this myself. Data from Table 2 
(I have the code I used to calculate it)",,"Growth increased more slowly with temp than respiration and excretion did, which is the explanation given in the paper for why growth efficiency decreased with temp",Assimilation efficiency was independent of temperature,their data
w: conversion efficiency (population growth),conversion efficiency,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1283",Tintinnids (zooplankton),heterotroph,Tintinnopsis vasculum,Phytoplankton,Dicrateria inornata,,,Yes,-0.15,,,Arrhenius,single species,"I calculated this myself. Data from Table 2 
(I have the code I used to calculate it)",,"Growth increased more slowly with temp than respiration and excretion did, which is the explanation given in the paper for why growth efficiency decreased with temp",Assimilation efficiency was independent of temperature,their data
w: conversion efficiency (population biovolume),conversion efficiency,biovolume of consumer produced compared to biovolume of resource consumed,"Caron et al. (1986). Effect of temperature on growth, respiration, and nutrient regeneration by an omnivorous microflagellate. Applied and Environmental Microbiology: 52(6): 1340-1347",Protist,heterotroph,Paraphysomonas imperforata,Diatom,Phaeodactylum tricornutum,14-26,4,No,-0.02,0.04,SE,Arrhenius,single species,"I calculated this myself. Data from Table 5
(I have the code I used to calculate it)",,"They also measured gross growth efficiency based on carbon, which was also not significantly temperature dependent",,their data
