Detailed Parameter,Grouped Parameter,Specific Metric,Nutrient,Reference,General Taxon/Grouping,Species,Temp Range,Number of Temps Measured,Evidence of Temperature Dependence,Activation Energy,Error,Error Metric,Model Used,Single species or multiple?,Where to find in paper,Evidence that temp dependence differs between species,Notes,More Notes,Their Data or Dataset?
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Picoeukaryotes,ambient-4 to ambient+5,5,Yes,0.6,0.1,SE,Arrhenius,multiple species,"From Table 2
E=0.60",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Diatoms,ambient-4 to ambient+5,5,Yes,0.59,0.07,SE,Arrhenius,multiple species,"From Table 2
E=0.59",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Prasinophytes,ambient-4 to ambient+5,5,Yes,0.52,0.07,SE,Arrhenius,multiple species,"From Table 2
E=0.52",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Cryptophytes,ambient-4 to ambient+5,5,Yes,0.54,0.12,SE,Arrhenius,multiple species,"From Table 2
E=0.54",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Dinoflagellates,ambient-4 to ambient+5,5,Yes,0.38,0.1,SE,Arrhenius,multiple species,"From Table 2
E=0.38",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Green algae,ambient-4 to ambient+5,5,Yes,0.61,0.1,SE,Arrhenius,multiple species,"From Table 2
E=0.61",,,,their data
consumption rate (max uptake rate: nitrogen),consumption rate,maximum uptake rate (nitrogen),nitrogen,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Phytoplankton,Coscinodiscus wailesii,9-20,2,Yes,0.32,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: phosphorus),consumption rate,maximum uptake rate (phosphorus),phosphorus,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Phytoplankton,Coscinodiscus wailesii,9-20,2,Yes,0.22,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: nitrogen),consumption rate,maximum uptake rate (nitrogen),nitrogen,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Phytoplankton,Eucampia zodiacus,9-20,2,Yes,0.11,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: phosphorus),consumption rate,maximum uptake rate (phosphorus),phosphorus,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Phytoplankton,Eucampia zodiacus,9-20,2,Yes,0.58,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: nitrogen),consumption rate,maximum uptake rate (nitrogen),nitrogen,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Tree,Acer rubrum,14-34,3,Yes,0.19,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: nitrogen),consumption rate,maximum uptake rate (nitrogen),nitrogen,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Tree,Ceratonia siliqua,10-40,6,Yes,0.12,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: nitrogen),consumption rate,maximum uptake rate (nitrogen),nitrogen,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Algae,Gracilaria gracilis,15-20,2,Yes,0.4,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: nitrogen),consumption rate,maximum uptake rate (nitrogen),nitrogen,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Algae,Thalassia testudinum,16-30,3,Yes,0.18,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: phosphorus),consumption rate,maximum uptake rate (phosphorus),phosphorus,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Shrub,Euphorbia pulcherrima,15-25,3,Yes,0.15,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (max uptake rate: phosphorus),consumption rate,maximum uptake rate (phosphorus),phosphorus,"Marx et al. (2019). Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage. Oikos: 128(10): 1503-1514
(Also referenced above for half saturation constant of nutrient uptake)",Herb,Tagetes patula,15-25,3,Yes,0.23,,,Arrhenius,single species,Obtained from author,"Probably, to some degree: Activation energies provided are averages. Appendix Figures A1-A8 show temperature dependence for individual species (individual activation energies not provided, however)",The average activation energies include some species for which E was calculated from only two temperatures.,,dataset
consumption rate (stoichiometry),consumption rate,stoichiometry,nitrogen,"Verity (1985).  Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282",Phytoplankton,Dicrateria inornata,5-15,3,No. The author states that there were no consistent trends between C or N content and temperature (page 1271),0,,,Qualitative (could it E be calculated for C:N ratios?),single species,,,Nutrient: nitrogen,"It's possible that I am not interpreting this correctly. The main focus of the paper is not on the phytoplankton, so very little time was spent on discussing this aspect of the study.",their data
consumption rate (stoichiometry),consumption rate,stoichiometry,nitrogen,"Verity (1985).  Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282",Phytoplankton,Isochrysis galbana,15-25,3,No. The author states that there were no consistent trends between C or N content and temperature (page 1271),0,,,Qualitative (could it E be calculated for C:N ratios?),single species,"Table 1, page 1271 text",,Nutrient: nitrogen,"It's possible that I am not interpreting this correctly. The main focus of the paper is not on the phytoplankton, so very little time was spent on discussing this aspect of the study.",their data
