References,ID,Species,Latitude (°N),Longitude (°E),Optimal growth temperature (ºC),Cell volume (?m3),Activation energy (eV),Standard error of activation energy
Moore et al. (1995),350,Synechococcus WH8103,28.5,-67.4,28,0.956,0.7,0.1
Fiala & Oriol (1990),352,Synedra sp.,-58,62,5,47100,0.26,0.09
Maddux & Jones (1964),353,Tetraselmis sp.,32.2,-64.5,22.5,2570,0.83,0.43
Hulburt (1982),354,Thalassionema nitzschioides,6,-54,24,424,0.67,0.8
Aydin et al. (2009),355,Thalassiosira allenii,38.6,26.7,NA,4320,0.21,0.06
Popovich & Gayoso (1999),356,Thalassiosira curviseriata,NA,NA,NA,456,0.5,0.04
Baars (1981),357,Thalassiosira decipiens,51.4,3.6,18,6230,0.87,0.22
Baars (1981),358,Thalassiosira eccentrica,51.4,3.6,16,297666.6667,1.13,0.05
Montagnes & Franklin (2001),359,Thalassiosira eccentrica,NA,NA,NA,59905,0.22,0.11
Hobson (1974),360,Thalassiosira fluviatilis,NA,NA,NA,1430,0.88,0.14
Baars (1981),361,Thalassiosira hendeyi,51.4,3.6,NA,237333.3333,0.54,0.02
Baars (1981),362,Thalassiosira levanderi,51.4,3.6,NA,655.6666667,0.64,0.11
Baars (1981),363,Thalassiosira nordenskioeldii,51.4,3.6,12,7376.25,0.61,0.13
Suzuki & Takahashi (1995),364,Thalassiosira nordenskioeldii,44.1,143.8,NA,5270,0.35,0.08
Durbin (1974),365,Thalassiosira nordenskioeldii clone TN-2,41.6,-71.3,NA,2570,0.75,0.13
Berges et al. (2002),366,Thalassiosira pseudonana,NA,NA,NA,43,0.51,0.19
Brand & Guillard (1981),367,Thalassiosira pseudonana,NA,NA,NA,91.3,0.57,0.19
Brand & Guillard (1981),368,Thalassiosira pseudonana,NA,NA,NA,91.3,0.99,0.11
Brand & Guillard (1981),369,Thalassiosira pseudonana,NA,NA,NA,91.3,1.63,0.46
Brand & Guillard (1981),370,Thalassiosira pseudonana,NA,NA,NA,91.3,1.25,0.22
Brand & Guillard (1981),371,Thalassiosira pseudonana,NA,NA,NA,91.3,0.92,0.08
Brand & Guillard (1981),372,Thalassiosira pseudonana,NA,NA,NA,91.3,0.85,0.11
Brand & Guillard (1981),373,Thalassiosira pseudonana,NA,NA,NA,91.3,0.77,0.09
Brand & Guillard (1981),374,Thalassiosira pseudonana,NA,NA,NA,91.3,0.67,0.13
Brand & Guillard (1981),375,Thalassiosira pseudonana,NA,NA,NA,91.3,0.63,0.09
Brand & Guillard (1981),376,Thalassiosira pseudonana,NA,NA,NA,91.3,0.84,0.27
Brand & Guillard (1981),377,Thalassiosira pseudonana,NA,NA,NA,91.3,1.05,0.12
Brand & Guillard (1981),378,Thalassiosira pseudonana,NA,NA,NA,91.3,1.02,0.23
Brand & Guillard (1981),379,Thalassiosira pseudonana,NA,NA,NA,91.3,0.77,0.16
Goldman & Carpenter (1974),380,Thalassiosira pseudonana,NA,NA,NA,91.3,0.76,0.3
Guillard & Ryther (1962),381,Thalassiosira pseudonana clone 5A,40.8,-72.8,20,91.3,0.95,0.21
Thompson et al. (1992),382,Thalassiosira pseudonana,40.8,-72.8,NA,77.1,0.52,0.06
Boyd et al. (2013),383,Thalassiosira pseudonana strain CCMP1011,17.8,64.8,25,91.3,0.54,0.07
Boyd et al. (2013),384,Thalassiosira pseudonana strain CCMP1012,-32,-115.8,25,91.3,0.73,0.13
Boyd et al. (2013),385,Thalassiosira pseudonana strain CCMP1013,53.3,-3.8,25,91.3,0.78,0.17
Boyd et al. (2013),386,Thalassiosira pseudonana strain CCMP1014,28,155,25,91.3,0.49,0.09
Boyd et al. (2013),387,Thalassiosira pseudonana strain CCMP1015,48.5,123,25,91.3,0.48,0.04
Boyd et al. (2013),388,Thalassiosira pseudonana strain CCMP1016,40.8,72.8,30,91.3,0.42,0.08
Baars (1981),389,Thalassiosira rotula,51.4,3.6,16,38111.11111,1.28,0.3
Krawiec (1982),390,Thalassiosira rotula clone A8,41.6,-71.3,NA,40500,0.76,0.11
Krawiec (1982),391,Thalassiosira rotula clone C8,27.5,-115,25,40500,0.43,0.06
Boyd et al. (2013),392,Thalassiosira rotula strain CCAP1085_21,41,14.3,17,40500,0.57,0.13
Boyd et al. (2013),393,Thalassiosira rotula strain CCMP1647,41,14.3,17,40500,0.81,NA
Boyd et al. (2013),394,Thalassiosira rotula strain CCMP3264,40.5,14.1,17,40500,0.72,0.27
Boyd et al. (2013),395,Thalassiosira rotula strain GSO101,49.7,-127.4,17,40500,0.45,0.12
Boyd et al. (2013),396,Thalassiosira rotula strain JPNTR18,34.2,133.3,17,40500,0.34,0.08
Boyd et al. (2013),397,Thalassiosira rotula strain p17f4,49.7,-127.4,NA,40500,0.67,0.15
Boyd et al. (2013),398,Thalassiosira weissflogii,39.5,-9.3,20,615,0.8,0.29
Lomas & Glibert (1999),399,Thalassiosira weissflogii,NA,NA,NA,1523.333333,0.64,0.04
Montagnes & Franklin (2001),400,Thalassiosira weissflogii,NA,NA,13,1959,2.24,NA
Strzepek & Price (2000),401,Thalassiosira weissflogii,NA,NA,NA,654.4285714,0.81,0.12
Breitbarth et al. (2007),403,Trichodesmium erythraeum,35,-76,27,207,2.01,0.74
Chappell & Webb (2010),404,"Trichodesmium erythraeum strain IMS101, CCMP 1985",35,-76,28,207,1.41,0.43
Chappell & Webb (2010),405,Trichodesmium erythraeum strain GBRTRLI101,-16.4,145.6,28,207,0.66,0.09
Boyd et al. (2013),406,Trichodesmium erythraeum 2175,7.5,-49.3,24,207,2.21,NA
Boyd et al. (2013),407,Trichodesmium erythraeum KO4_20,7.5,-49.3,28,207,1.12,0.29
Boyd et al. (2013),408,Trichodesmium erythraeum RL1,-15.1,155,26,207,1.22,0.2
Chappell & Webb (2010),409,Trichodesmium radians strain H94,22.8,-158,26,207,2.06,NA
Renaud et al. (2002),411,Unidentified prymnesiophyte strain NT19,-12.5,130.8,27,20,0.21,NA
Suzuki & Takahashi (1995),413,Nitzschia frigida,74.7,-95.2,NA,434,0.24,0.42
Throndsen (1976),492,Apedinella radians,60.3,5.2,20,65,0.65,0.31
Hulburt (1982),493,Asterionellopsis glacialis,6,-54,31,4440,0.71,0.2
Karentz & Smayda (1984) from Teng (unpubl.),494,Asterionellopsis glacialis,41.6,-71.3,25,4440,0.52,0.08
Meier et al. (2004),495,Calciodinellum albatrosianum Geob*26/5,12.3,-58.3,28.6,126,0.45,0.17
Hulburt (1982),498,Chaetoceros didymus,6,-54,21,2198,1.12,0.69
Hulburt (1982),499,Chaetoceros lorenzianus clone Bermuda,32.3,-64.7,30,12660,0.49,0.19
Hulburt (1982),500,Chaetoceros lorenzianus clone Bushehr,28.9,50.8,21,12660,1,0.48
Hulburt (1982),501,Chaetoceros lorenzianus clone Slope water,38.4,-73.4,27,12660,0.45,0.19
Baek et al. (2008),502,Neoceratium fusus,35.2,139.4,26,49087,1.45,0.5
Miller & Kamykowski (1986),503,Pseudo-nitzschia americana,34,-77.9,25,18,1,0.31
Hulburt (1982),504,Rhizosolenia setigera,41.9,-70.3,9,755,0.98,0.25
Hulburt (1982),505,Thalassionema nitzschioides,41.9,-70.3,20.3,424,0.36,0.05
Mackey et al. (2013),506,Synechococcus CCMP837,33.7,-67.5,18,0.27,9.69,NA
Mackey et al. (2013),507,Synechococcus CCMP1183,7.5,134.5,24,0.27,1.15,0.53
Mackey et al. (2013),508,Synechococcus CCMP1379,-14.9,-148.7,NA,0.27,1.02,0.2
Mackey et al. (2013),509,Synechococcus CCMP1630,40.8,13.9,NA,0.27,1.08,0.16
Mackey et al. (2013),510,Synechococcus CCMP1632,36.8,118.7,21,0.27,2.42,NA
Mackey et al. (2013),511,Synechococcus WH8102,22.5,-65.6,21,0.27,2.91,NA
Mackey et al. (2013),512,Synechococcus CCMP2606,15.3,72.6,NA,0.27,1.67,0.21
Mackey et al. (2013),513,Synechococcus PCC7002,18,-67,NA,0.27,0.91,0.23
