References,ID,Species,Latitude (°N),Longitude (°E),Optimal growth temperature (ºC),Cell volume (?m3),Activation energy (eV),Standard error of activation energy
Boyd et al. (2013),92,Crocosphaera watsonii strain 3A,7,-49.3,28,33.5,0.75,0
Boyd et al. (2013),93,Crocosphaera watsonii strain 84,7,-49.3,28,33.5,0.2,0.06
Boyd et al. (2013),94,Crocosphaera watsonii WH005,7,-49.3,28,33.5,0.26,0.03
Renaud et al. (2002),98,Cryptomonas sp. strain CRFI01,-16.9,146,NA,47,NA,NA
Throndsen (1976),99,Cryptomonas sp. strain F,60.3,5.2,22,47,0.28,0.04
Montagnes & Franklin (2001),100,Cyclotella cryptica,NA,NA,NA,705.2,0.24,0.04
Guillard & Ryther (1962),103,Cyclotella nana,NA,NA,NA,169,0.34,0.2
Maddux & Jones (1964),104,Cylindrotheca closterium,40.4,-74,22.5,80.1,0.77,0.3
Renaud et al. (1995),105,Cylindrotheca closterium,-12.5,130.8,NA,80.1,NA,NA
Ignatiades & Smayda (1970),106,Dactyliosolen fragilissimus,41.6,-71.3,18,120166,0.47,0.05
Guillard & Ryther (1962),108,Detonula confervacea,41.6,-71.3,10,2990,0.62,NA
Smayda (1969),109,Detonula confervacea,41.6,-71.3,NA,2990,0.36,0.24
Suzuki & Takahashi (1995),110,Detonula confervacea,44.1,143.8,NA,2990,0.47,0.15
Baars (1981),112,Ditylum brightwellii,NA,NA,12,101883.3333,1.13,0.19
Montagnes & Franklin (2001),113,Ditylum brightwellii,NA,NA,20,16300,0.35,0.12
Paasche (1968),114,Ditylum brightwellii,NA,NA,26,33400,0.39,0.09
Reay et al. (1999),115,Dunaliella tertiolecta strain CCAP 19/6B,59.5,10.6,20,227,0.57,0.28
Sosik & Mitchell (1994),116,Dunaliella tertiolecta,NA,NA,NA,182.5,0.62,0.1
Thompson et al. (1992),117,Dunaliella tertiolecta,NA,NA,NA,227,0.92,0.16
Buitenhuis et al. (2008),118,Emiliania huxleyi R strain TQ26,-42.2,169.5,20,35.6,0.92,0.25
Conte et al. (1998),119,Emiliania huxleyi strain G1779Ga,60,-20,21,35.6,0.7,0.08
Conte et al. (1998),120,Emiliania huxleyi strain B92/21,60.4,5.6,18,35.6,0.53,0.05
Conte et al. (1998),121,Emiliania huxleyi strain Van556,49.7,-144.7,18,35.6,0.18,0.02
Conte et al. (1998),122,"Emiliania huxleyi strain M181, Bigelow 1A1",32,-62,24,35.6,0.82,0.1
Rhodes et al. (1995),123,Emiliania huxleyi,-47,168.1,20,35.6,0.87,NA
Watabe & Wilbur (1966),124,Emiliania huxleyi,32.2,-64.5,18,35.6,0.75,NA
Conte et al. (1998),125,Emiliania huxleyi strain S. Africa,-29.8,31,24,35.6,0.68,0.09
Mjaaland (1956),126,Emiliania huxleyi clone M,66,2,20,35.6,0.9,0.02
Nishikawa & Yamaguchi (2006),127,Eucampia zodiacus,34.5,134.6,20,20000,0.67,0.06
Throndsen (1976),129,Eutreptiella gymnastica,59.5,10.5,20,14700,0.4,0.1
de Boer et al. (2005),130,Fibrocapsa japonica strain CAWR-19,-41.3,174.9,25,4131.25,0.48,0.1
de Boer et al. (2005),131,Fibrocapsa japonica strain CCRuG-C13,54.1,8.9,24.5,3548.333333,0.43,0.12
de Boer et al. (2005),132,Fibrocapsa japonica strain CS-332,34.3,134.3,24.5,4256.666667,0.84,0.22
Khan et al. (1996),133,Fibrocapsa japonica,NA,NA,25,4380,0.31,0.15
Karsten et al. (2005),134,Fragilaria barbararum,NA,NA,NA,146,0.52,0.1
Karsten et al. (2005),136,Fragilaria striatula,NA,NA,NA,634,0.62,0.13
Fiala & Oriol (1990),137,Fragilariopsis cylindrus,-58,62,5,23.6,0.1,0.13
Fiala & Oriol (1990),138,Fragilariopsis kerguelensis,-58,62,4,825,0.41,0.14
Morton et al. (1992),139,Gambierdiscus toxicus,24.7,-81.1,29,84100,1.44,0.33
Buitenhuis et al. (2008),140,Gephyrocapsa oceanica,NA,NA,NA,48,0.75,0.35
Conte et al. (1998),141,"Gephyrocapsa oceanica strain AB1, CAWPOT",-36.3,174.8,24,48,0.53,0.12
Rhodes et al. (1995),142,"Gephyrocapsa oceanica strain AB1, CAWPOT",-36.3,174.8,20,48,0.51,0.18
Bollmann et al. (2010),143,Gephyrocapsa oceanica var. typica strain A4725,25.7,-80.1,27,48,0.53,0.08
Bollmann et al. (2010),144,Gephyrocapsa oceanica var. typica strain A4727,25.7,-80,27,48,0.61,0.25
Meeson & Sweeney (1982),146,Gonyaulax polyedra,NA,NA,NA,32349.33333,1.4,0.51
Langdon (1987),147,Gonyaulax tamarensis,NA,NA,NA,16200,0.86,0.04
Watras et al. (1982),148,Alexandrium tamarense clone GTMP,41.8,-70,20,8840,0.75,0.13
Baars (1981),149,Guinardia flaccida,NA,NA,NA,85900,0.44,0.2
Nielsen & Tønseth (1991),150,Gymnodinium aureolum,59.5,10.5,20,3360,1,0.32
Band-Schmidt (2004),151,Gymnodinium catenatum strain GCCV-10,26.7,-111.8,29,50400,0.32,0.06
Bravo & Anderson (1994),152,Gymnodinium catenatum,42.4,-9,22.5,40100,1,0.23
Sundström et al. (2009),153,Gymnodinium corollarium clone GCTV-B4,58.9,20.3,4,5240,0.39,0.02
Thomas (1966),154,Gymnodinium isolate 581 (probably G. simplex),9.8,-89.2,28,567,0.4,0.1
Thomas (1966),155,Gymnodinium isolate 582 (probably G. simplex),14.7,-97,23,567,0.77,0.15
Nagasoe et al. (2006),156,Gyrodinium instriatum,NA,NA,25,24800,1.01,0.22
Chin et al. (1965),159,Helicotheca tamesis,24.5,118.1,25,66700,1.43,0.55
Throndsen (1976),160,Heterocapsa rotundata,59.5,10.5,20,102,0.48,0.16
Aelion & Chisholm (1985),161,Heterocapsa triquetra,NA,NA,16,1564,0.54,0.04
Throndsen (1976),162,Heteromastix pyriformis,69.7,19,22,113,0.32,0.14
Ono et al. (2000),163,Heterosigma akashiwo,34.5,134.6,25,905,0.5,0.13
Montagnes & Franklin (2001),164,Isochrysis galbana,NA,NA,NA,80.75,0.09,0.03
Renaud et al. (1995),165,"Isochrysis galbana clone T-ISO, NEPCC 601",-14.9,-148.7,25,59,0.96,0.27
Renaud et al. (2002),166,"Isochrysis galbana clone T-ISO, NEPCC 601",-14.9,-148.7,27,59,0.69,NA
Thompson et al. (1992),167,Isochrysis galbana,NA,NA,NA,59,0.52,0.21
Hobson (1974),168,"Isochrysis galbana strain CCMP1323, Iso.",54.1,-4.8,NA,85,0.63,0.07
Renaud et al. (1995),169,Isochrysis sp. strain PS11,-18.5,121.8,20,85,1.15,0.07
McKay et al. (2006),170,Karenia brevis strain MAN,27,-82.4,23,603,0.32,0.08
McKay et al. (2006),171,Karenia brevis strain APA,29.7,-85,25,603,0.98,0.21
Yamaguchi & Honjo (1989),172,Karenia mikimotoi,33.8,131.3,25,8143,0.83,0.09
Nielsen (1996),173,Karlodinium veneficum strain KT76E,59.5,10.5,20,808,0.54,0.08
Vona et al. (2004),175,Koliella antarctica,-74.8,164.5,10,6.16,1.24,NA
Baars (1981),176,Lauderia annulata,51.4,3.6,16,15142,0.8,0.02
Meier et al. (2004),177,Leonella granifera,8.7,-52.5,28,524,1.11,0.25
Meier et al. (2004),178,Leonella granifera,7,-48.2,29,524,0.77,0.27
Verity (1982),179,Leptocylindricus danicus,NA,NA,15,1160,1.51,0.04
Hulburt (1982),180,Leptocylindrus danicus,28.9,50.8,28,1160,0.96,0.31
Throndsen (1976),190,Micromonas pusilla,59.5,10.5,20,1,0.21,0.21
Lovejoy et al. (2007),191,Micromonas sp. strain CCMP2099,76.3,-74.8,6,8.18,0.94,0.28
Falcón et al. (2005),192,N-fixing unicellular cyanobacterium strain A 2.5,12.3,-56,28,8.18,6.29,2.77
Falcón et al.  (2005),193,N-fixing unicellular cyanobacterium strain P-3,22.8,-158,30,14.1,3.1,1.42
Falcón et al.  (2005),194,N-fixing unicellular cyanobacterium strain P-7,22.8,-158,28,180,4.29,2.23
Cho et al. (2007),195,Nannochloris oculata,NA,NA,25,0.52,0.18,0.06
Thomas (1966),196,Nannochloris sp.,NA,NA,30,10,0.84,0.15
Sandnes et al. (2005),197,Nannochloropsis oceanica,60,5.5,29,15,0.51,0.08
James et al. (1989),198,Nannochloropsis strain MFD2,29.3,47.5,15,15,NA,NA
Admiraal (1977),199,Navicula arenaria,53.6,8.3,16,4160,1.04,0.27
Baars (1981),201,Navicula sp.,51.4,3.6,12,13500,0.55,NA
Nordli (1957),202,Neoceratium furca,59.7,10.6,20,145000,1.1,0.46
Nordli (1957),203,Neoceratium fusus,59.7,10.6,15,158000,0.84,NA
Nordli (1957),204,Neoceratium lineatum,59.7,10.6,20,53600,0.91,0.21
Montresor & Tomas (1988),205,Neoceratium tripos,59.7,10.6,20,8.00E+05,0.1,0.01
Miller & Kamykowski (1986),206,Nitzschia americana,NA,NA,NA,4700,0.33,0.07
Admiraal (1977),207,Nitzschia dissipata,53.6,8.3,NA,243,0.7,0.09
Renaud et al. (1995),208,Nitzschia paleacea strain NT7,-12.5,130.8,15,44.75,0.9,NA
Smith et al. (1994),209,Nitzschia seriata,74.7,-95.8,10,616.5714286,0.35,0.1
Admiraal (1977),210,Nitzschia sigma,53.6,8.3,NA,3300,0.29,0.07
Hulburt (1982),211,Odontella mobiliensis,6,-54,27,27700,1.11,0.31
Langdon (1987),212,Olisthodiscus luteus,NA,NA,NA,1150,0.61,0.13
Throndsen (1976),213,Olisthodiscus luteus,59.5,10.5,15,1150,0.77,0.3
Tomas (1978),214,Olisthodiscus luteus clone OLMS,41.6,-71.3,25,1150,0.44,0.06
Tomas (1978),215,Olisthodiscus luteus clone OLMS,41.6,-71.3,NA,1150,NA,NA
Kulk et al. (2012),223,Ostreococcus sp.,NA,NA,20,0.551333333,0.83,NA
Morton et al. (1992),224,Ostreopsis heptagona,24.7,-81.1,25,2.00E+05,1.39,0.13
Morton et al. (1992),225,Ostreopsis siamensis,24.7,-81.1,25,64700,1.92,0.59
Thompson et al. (1992),227,Pavlova lutheri,NA,NA,NA,102,0.65,0.11
Kulk et al. (2012),229,Pelagomonas calceolata,NA,NA,NA,7.62,0.51,0.19
Barker (1935),230,Peridinium sp.,36.6,-121.9,18,9490,0.78,0.12
Meier et al. (2004),231,Pernambugia tuberosa strain GeoB*74,-11.5,-28.6,22,8181,0.94,0.19
Wang et al. (2010),232,Phaeocystis antarctica strain CCMP 1871,-64.8,-64.1,4,113,1.27,0.63
Wang et al. (2010),233,Phaeocystis globosa strain CCMP 1528,-1.4,-89.7,20,65,3.2,NA
Grimm & Weisse (1985),234,Phaeocystis pouchetii,54.9,8.3,15,80,0.91,0.12
Fawley (1984),235,Phaeodactylum tricornutum clone Pet Pd,41.7,-70.2,23,9.221666667,0.38,0.06
Johnston (1996),236,Phaeodactylum tricornutum strain CCAP 1052/1A,50.4,-4.2,21,128,0.49,0.16
Kräbs & Büchel (2011),237,Phaeodactylum tricornutum strain NEPCC 640,49.3,-123.2,18,128,0.18,NA
Kräbs & Büchel (2011),238,Phaeodactylum tricornutum strain CCMP633,13.8,144.8,NA,128,0.22,0.04
Kudo et al. (2000),239,Phaeodactylum tricornutum,NA,NA,NA,132.25,0.34,0.04
Li & Morris (1982),240,Phaeodactylum tricornutum,NA,NA,NA,80,0.7,0.13
Montagnes & Franklin (2001),241,Phaeodactylum tricornutum,NA,NA,20,118.5454545,0.56,0.07
Morris & Glover (1974),242,Phaeodactylum tricornutum,NA,NA,NA,128,0.43,0.21
Ryther (1954),243,Phaeodactylum tricornutum,40.7,-73.1,15,128,0.35,0.09
