Detailed Parameter,Simple Parameter,Specific Metric,Reference,General Taxon/Grouping,Heterotroph or Autotroph,Species,Life Stage,Resource General,Resource Species,Resource life stage,Max Temp,Min Temp,Temp Range,Number of Temps Measured,Confident in Temps,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Rutilus rutilus,,,,,,,1.30,,Somewhat,Yes,1.472,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Salmo trutta,,,,,,,6.30,,Somewhat,Yes,1.033,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Clam,heterotroph,Siliqua patula,,,,,,,11,,Somewhat,Yes,0.784,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Sinocalanus tenellus,,,,,,,20.90,,Somewhat,Yes,0.831,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Stegastes planifrons,,,,,,,3,,Somewhat,Yes,5.629,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Stizostedion canadense,,,,,,,12.29,,Somewhat,Yes,0.859,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Fish,heterotroph,Stizostedion vitreum,,,,,,,24.30,,Somewhat,Yes,0.51,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Sea snail,heterotroph,Tegula funebralis,,,,,,,7.33,,Somewhat,Yes,1.226,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Copepod,heterotroph,Temora longicornis,,,,,,,6.50,,Somewhat,Yes,0.789,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Krill,heterotroph,Thysanoessa inermis,,,,,,,39.90,,Somewhat,Yes,-0.117,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Krill,heterotroph,Thysanoessa raschii,,,,,,,39.70,,Somewhat,Yes,0.099,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Lizard,heterotroph,Varanus niloticus,,,,,,,7.96,,Somewhat,Yes,0.86,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
c: consumption rate (attack rate),consumption rate,attack rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Petchey et al. (2010). Predicting the effects of temperature on food web connectance. Philosophical Transactions of the Royal Society B- Biological Sciences: 365(1549): 2081-2091",Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,,,5-27.5,6,Yes,Yes,0.509,,,Arrhenius,single species,"From Petchey et al. (2010) Fig. 1e
E=0.509",,"Plots of # prey eaten/prey density are available in the original paper (Fig. 6), showing the response across a range of temperatures.","Fig.1 in Petchey et al. shows log (base 10) transformed attack rate vs. temp in Celsius, but it is noted that the activation energy is calculated from a typically linearized Arrhenius function","their data, part of Petchey et al. (2010) dataset"
c:consumption rate,consumption rate,,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Dell et al. (2011). See full reference above",Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,,,5-27.5,6,No,Yes,0.59,,,Arrhenius,single species,From Table S3,,"Dell et al. (2011) calculated E at 9 different prey densities, only two were reported as singificant fits","I am less confident in these activation energies than those from Petchey et al. as Dell et al. state that the thermal optimum is at 16°, which doesn't seem to be the case, and it makes me wonder if they had a problem with their data","their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Dell et al. (2011). See full reference above",Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,,,5-27.5,6,No,Yes,0.97,,,Arrhenius,single species,From Table S3,,"Dell et al. (2011) calculated E at 9 different prey densities, only two were reported as singificant fits","I am less confident in these activation energies than those from Petchey et al. as Dell et al. state that the thermal optimum is at 16°, which doesn't seem to be the case, and it makes me wonder if they had a problem with their data","their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,,,5-27.5,6,Yes,Yes,0.71,0.22,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Presumably this is calculated for a prey density at which feeding rate is maximum,,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Petchey et al. (2010). See full reference above",Mite,heterotroph,Amblyseius longispinosus,,Mite,Aponychus corpuzae,,,,15-35,5,Yes,"Maybe, maybe not: Zhang et al. found a linear trend, but Petchey et al. determined that the activation energy was not significant",0.152,,,Arrhenius,single species,"From Petchey et al. (2010) Fig. 1f
E=0.152 (but see notes)",,The activation energy was not found to be significantly different from 0,Zhang et al. (1998) calculated linear temperature dependence in the original paper (see Fig. 1). ,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Mite,heterotroph,Amblyseius longispinosus,,Mite,Aponychus corpuzae,,,,15-35,5,Yes,Yes,0.23,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"This is the same original data as above, but the activation energy is from a different paper.",Zhang et al. (1998) calculated linear temperature dependence in the original paper (see Fig. 1). ,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China. Systematic and Applied Acarology: 4: 63-68
Activation energy calculated by: Petchey et al. (2010). See full reference above",Mite,heterotroph,Amblyseius longispinosus,,Mite,Schizotetranychus nanjingensis,,,,10-35,6,Yes,Yes,0.432,,,Arrhenius,single species,"From Petchey et al. (2010) Fig 1g
E=0.432",,,,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China. Systematic and Applied Acarology: 4: 63-68
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Mite,heterotroph,Amblyseius longispinosus,,Mite,Schizotetranychus nanjingensis,,,,10-35,6,Yes,Yes,0.44,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"This is the same original data as above, but the activation energy is from a different paper.",,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Petchey et al. (2010). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.572,,,Arrhenius,single species,"From Petchey et al. (2010) Fig 1h
E=0.572",,"Petchey et al. state that they have corrected the data for variation in predator and prey size, but this process is not described or made clear.",,"their data, part of Petchey et al. (2010) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.39,0.16,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,"Xia et al. did calculate the number of prey eaten over the course of each trial, but did not report those data in the paper. Perhaps Fussmann et al. obtained the data from them?","their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.37,0.13,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.23,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.25,0.13,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.21,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.15,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.1,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.19,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-25? 25-35? 20-30?,3,Somewhat,Yes,0.31,0.09,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-30? 20-35?,4,Somewhat,Yes,-0.09,0.03,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,-0.04,0.05,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-25? 25-35? 20-30?,3,Somewhat,Yes,0.13,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,-0.04,0.03,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-30? 20-35?,4,Somewhat,Yes,-0.07,0.01,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,,,15-35,5,Yes,Yes,0.05,0.02,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Brown et al. (2004). Toward a metabolic theory of ecology. Ecology: 85(7): 1771-1789",Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,,,10-20,3,Yes,Yes,0.56,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.56",,Spitze (1985) Fig. 8 shows attack rate vs temperature,,"their data, used in Brown et al. (2004)"
c:consumption rate,consumption rate,attack rate?,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,,,10-20,3,Yes,Yes,0.57,0.32,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I don't know how they would have gotten any kind of maximum rate from this paper, given that only means are given for different temps",maybe they are trying to calculate feeding rate from attack rate and handling time?,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,attack rate?,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,,,10-20,3,Yes,Yes,0.2,0.56,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I don't know how they would have gotten any kind of maximum rate from this paper, given that only means are given for different temps",maybe they are trying to calculate feeding rate from attack rate and handling time?,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Eggleston (1990). Behavioural mechanisms underlying variable functional responses of blue crabs, Callinectes sapidus feeding on juvenile oysters, Crassostrea virginica. Journal of Animal Ecology: 59(2): 615-630
Activation energy calculated by: Brown et al. (2004). See full reference above",Crab,heterotroph,Callinectes sapidus,,Oyster,Crassostrea virginica,,,,13-27,3,Yes,Yes,0.8,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.80",,,,"their data, used in Brown et al. (2004)"
c: consumption rate (feeding rate coefficient),consumption rate,,"Luecke & O'Brien. (1983). The effect of Heterocope predation on zooplankton communities in arctic ponds. Limnology and Oceanography: 28(2)
Activation energy calculated by: Brown et al. (2004). See full reference above",Copepod,heterotroph,Heterocope septentrionalis,,Zooplankton,Zooplankton,,,,5-15,3,Yes,Yes,0.81,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.81",,"Brown et al. (2004) calculate E for ""feeding rate"" but Luecke & O'Brien describe a ""feeding rate coefficient."" The formula for calculating feeding rate coefficient is provided on page 368.",Luecke & O'Brien (1983) Fig.1 shows feeding rate coefficient vs temperature for 5 different prey species.,"their data, used in Brown et al. (2004)"
c: consumption rate (grazing),consumption rate,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282
Activation energy calculated by: Brown et al. (2004). See full reference above",Tintinnids (zooplankton),heterotroph,"Tintinnopsis acuminata,
Tintinnopsis vasculum",,Phytoplankton,"Isochrysis galbana and Dicrateria inornata, respectively",,,,"5-15 (T. vasculum)
15-25 (T. acuminata)",3 for each species,No,Yes,0.57,,,Arrhenius,multiple species,"From Brown et al. (2004) Table 1
E=0.57",,"The original paper measures ingestion and clearance rates. It is unclear which of these Brown et al. are using to calculate E as they use the term ""grazing rate""",,"their data, used in Brown et al. (2004)"
c: consumption rate (attack rate),consumption rate,attack rate,Rall et al. (2012). Universal temperature and body-mass scaling of feeding rates. Philosophical Transactions of the Royal Society B- Biological Sciences: 367(1605): 2923-2934,"Unicells, Invertebrates, and Vertebrates",heterotroph,"Unicells, Invertebrates, and Vertebrates",,,,,,,NA,NA,NA,Yes,0.42,,,Arrhenius,multiple species,"From Table 1 and page 2929 text
E=0.42","Maybe: E was not estimated for individual groups in the most parsimonious model, but was in the full model (see Table 1). However, some of these estimates seem very unusual (eg. E=-37.66 for freshwater unicells)",The estimate of E here is from the most parsimonious model. Estimates of E from other models are available in Table 1,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche spp.,juvenile,,,14-28,8,No,Yes,0.33,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche spp.,juvenile,,,16-28,7,No,Yes,0.42,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche spp.,juvenile,,,6-20,7,No,Yes,0.62,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Stonefly,heterotroph,Acroneuria californica,juvenile,Black Fly,Simulium spp.,juvenile,,,10-24,8,No,Yes,0.15,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Beetle,heterotroph,Agonum dorsale,adult,Aphid,Sitobion avenae,juvenile,,,12.3-23.6,4,Somewhat,Yes,1.15,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Beetle,heterotroph,Bembidion lampros,adult,Aphid,Rhopalosiphum padi,adult,,,10-25,4,Somewhat,Yes,0.72,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Beetle,heterotroph,Carcinops pumilio,adult,House fly,Musca domestica,juvenile,,,15-33,4,Somewhat,Yes,0.8,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Crab,heterotroph,Carcinus maenas,adult,Mussel,Mytilus edulis,adult,,,3.8-17.7,4,No,Yes,0.77,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,"Gresens et al. (1982). The influence of temperature on the functional response of the dragonfly Celithemis fasciata (Odonata, Libellulidae). Oecologia: 53(3): 281-284
Activation energy calculated in: Dell et al. (2011). See full reference above",Dragonfly,heterotroph,Celithemis fasciata,juvenile,Midge,Chironomus tentans,juvenile,,,10-25,4,Somewhat,Yes,0.85,,,Arrhenius,single species,From Table S3,,"This is calculated from consumption rates at one of the five prey density treatments, not max rates as below",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Gresens et al. (1982). The influence of temperature on the functional response of the dragonfly Celithemis fasciata (Odonata, Libellulidae). Oecologia: 53(3): 281-284
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Dragonfly,heterotroph,Celithemis fasciata,juvenile,Midge,Chironomus tentans,juvenile,,,10-25,4,Yes,Yes,0.29,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,This is calculated from maximum consumption rates,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Midge,heterotroph,Chaoborus americanus,juvenile,Copepod,Diaptomus kenai,adult,,,5-20,4,Somewhat,Yes,0.68,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Midge,heterotroph,Chaoborus trivittatus,juvenile,Copepod,Diaptomus tyrelli,adult,,,5-20,4,Somewhat,Yes,0.69,,,Arrhenius,single species,From Table S3,,,,dataset
