Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Activation.energy,Error,Error.Metric,Model.Used,Where.to.find.in.paper
consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China. Systematic and Applied Acarology: 4: 63-68
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,,Mite,Schizotetranychus nanjingensis,,35,10,25,6,0.44,0.14,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,attack rate,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.572,NA,,Arrhenius,"From Petchey et al. (2010) Fig 1h
E=0.572"
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.39,0.16,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.37,0.13,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.23,0.06,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.25,0.13,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.21,0.14,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.15,0.08,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.1,0.06,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.19,0.07,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,10,3,0.31,0.09,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,15,4,-0.09,0.03,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,-0.04,0.05,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,10,3,0.13,0.06,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,-0.04,0.03,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,15,4,-0.07,0.01,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,0.05,0.02,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,attack rate,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Brown et al. (2004). Toward a metabolic theory of ecology. Ecology: 85(7): 1771-1789",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,0.56,NA,,Arrhenius,"From Brown et al. (2004) Table 1
E=0.56"
consumption rate,attack rate?,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,0.57,0.32,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,attack rate?,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,0.2,0.56,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,attack rate,"Eggleston (1990). Behavioural mechanisms underlying variable functional responses of blue crabs, Callinectes sapidus feeding on juvenile oysters, Crassostrea virginica. Journal of Animal Ecology: 59(2): 615-630
Activation energy calculated by: Brown et al. (2004). See full reference above",Lab,,Invertebrates,Crustaceans,Crab,heterotroph,Callinectes sapidus,,Oyster,Crassostrea virginica,,27,13,14,3,0.8,NA,,Arrhenius,"From Brown et al. (2004) Table 1
E=0.80"
consumption rate,,"Luecke & O'Brien. (1983). The effect of Heterocope predation on zooplankton communities in arctic ponds. Limnology and Oceanography: 28(2)
Activation energy calculated by: Brown et al. (2004). See full reference above",Lab,Freshwater,Invertebrates,Crustaceans,Copepod,heterotroph,Heterocope septentrionalis,,Zooplankton,Zooplankton,,15,5,10,3,0.81,NA,,Arrhenius,"From Brown et al. (2004) Table 1
E=0.81"
consumption rate,,"Heiman & Knight. (1975). The influence of temperature on the bioenergetics of the carnivorous stonefly nymph, Acroneuria californica Banks (Plecoptera: Perlidae). Ecology: 56(1): 105-116
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Simulium sp.,juvenile,28,14,14,8,0.33,NA,,Arrhenius,From Table S3
consumption rate,,"Heiman & Knight. (1975). The influence of temperature on the bioenergetics of the carnivorous stonefly nymph, Acroneuria californica Banks (Plecoptera: Perlidae). Ecology: 56(1): 105-116
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche sp.,juvenile,28,16,12,7,0.42,NA,,Arrhenius,From Table S3
consumption rate,,"Heiman & Knight. (1975). The influence of temperature on the bioenergetics of the carnivorous stonefly nymph, Acroneuria californica Banks (Plecoptera: Perlidae). Ecology: 56(1): 105-116
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche sp.,juvenile,20,6,14,7,0.62,NA,,Arrhenius,From Table S3
consumption rate,,"Heiman & Knight. (1975). The influence of temperature on the bioenergetics of the carnivorous stonefly nymph, Acroneuria californica Banks (Plecoptera: Perlidae). Ecology: 56(1): 105-116
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Black Fly,Simulium sp.,juvenile,24,10,14,8,0.15,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Agonum dorsale,adult,Aphid,Sitobion avenae,juvenile,23.6,12.3,11.3,4,1.15,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Bembidion lampros,adult,Aphid,Rhopalosiphum padi,adult,25,10,15,4,0.72,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Carcinops pumilio,adult,House fly,Musca domestica,juvenile,33,15,18,4,0.8,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Crustaceans,Crab,heterotroph,Carcinus maenas,adult,Mussel,Mytilus edulis,adult,17.7,3.8,13.9,4,0.77,NA,,Arrhenius,From Table S3
consumption rate,,"Gresens et al. (1982). The influence of temperature on the functional response of the dragonfly Celithemis fasciata (Odonata, Libellulidae). Oecologia: 53(3): 281-284
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Dragonfly,heterotroph,Celithemis fasciata,juvenile,Midge,Chironomus tentans,juvenile,25,10,15,4,0.85,NA,,Arrhenius,From Table S3
consumption rate,maximum feeding rate,"Gresens et al. (1982). The influence of temperature on the functional response of the dragonfly Celithemis fasciata (Odonata, Libellulidae). Oecologia: 53(3): 281-284
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Dragonfly,heterotroph,Celithemis fasciata,juvenile,Midge,Chironomus tentans,juvenile,25,10,15,4,0.29,0.04,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Fedorenko (1975).  Feeding characteristics and predation impact of Chaoborus (Diptera, Chaoboridae) larvae in a small lake. Limnology and Oceanography: 20(2): 250-258
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Copepod,Diaptomus kenai,adult,20,5,15,4,0.68,NA,,Arrhenius,From Table S3
consumption rate,maximum feeding rate,"Fedorenko (1975).  Feeding characteristics and predation impact of Chaoborus (Diptera, Chaoboridae) larvae in a small lake. Limnology and Oceanography: 20(2): 250-258
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus trivittatus,juvenile,Copepod,Diaptomus tyrelli,adult,20,5,15,4,0.69,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Gymnocephalus cernuus,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,0.16,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Gymnocephalus cernuus,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,0.4,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Aphid,Sitobion avenae,juvenile,23.6,12.3,11.3,4,0.89,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Macrocheles muscaedomesticae,adult,House fly,Musca domestica,juvenile,33,15,18,4,0.85,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,0.52,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,0.53,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,0.57,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,0.58,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,0.6,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta glauca,adult,Mosquito,Culex pipiens,juvenile,25,5,20,5,0.76,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta glauca,adult,Mosquito,Culex pipiens,juvenile,25,5,20,5,1.1,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta hoffmani,adult,Mosquito,Culex pipiens,juvenile,25,10,15,4,1.1,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Molluscs,Sea snail,heterotroph,Nucella lapillus,adult,Mussel,Mytilus edulis,adult,25,3,22,8,0.91,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,True bug,heterotroph,Orius insidiosus,adult,Mite,Panonychus ulmi,adult,35,18.3,16.7,4,0.72,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,0.8,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,0.99,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.46,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.53,NA,,Arrhenius,From Table S3
consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.36,0.14,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.77,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.86,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.86,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.92,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.93,NA,,Arrhenius,From Table S3
consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.7,0.21,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.46,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.63,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.65,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.74,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.85,NA,,Arrhenius,From Table S3
consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus regnans,adult,24,11.5,12.5,4,0.74,NA,,Arrhenius,From Table S3
consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus viminalis,adult,24,11.5,12.5,4,0.65,NA,,Arrhenius,From Table S3
consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Pinus radiata,adult,26,9,17,5,0.77,NA,,Arrhenius,From Table S3
consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,30,15,15,4,0.51,NA,,Arrhenius,From Table S3
consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,30,15,15,4,0.56,NA,,Arrhenius,From Table S3
consumption rate,maximum feeding rate,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,adult,Anisops deanei,unsure,30,15,15,4,0.56,0.33,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,0.53,NA,,Arrhenius,From Table S3
