Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Activation.energy,Error,Error.Metric,Model.Used,Where.to.find.in.paper
resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Raphidocelis subcapitata,,,,,25,15,10,3,0.9,0.19,SE,Arrhenius,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)"
resource growth rate,,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Acarus siro,adult,,,,35,5,30,12,1.93,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Aleuroglyphus ovatus,adult,,,,35,5,30,12,1.74,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Tyrophagus putrescentiae,adult,,,,35,10,25,11,1.37,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,intrinsic growth rate,"Zamani et al. (2006). Effect of temperature on biology and population growth parameters of Aphis gossypii Glover (Hom., Aphididae) on greenhouse cucumber. Journal of Applied Entomology: 130(8): 453-460
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Aphis gossypii,adult,,,,30,10,20,5,0.91,NA,,Arrhenius,From Table S3
resource growth rate,maximum doubling rate,"Bronikowski et al. (2001). Evolutionary adaptation to temperature. VIII. Effects of temperature on growth rate in natural isolates of Escherichia coli and Salmonella enterica from different thermal environments. Evolution: 55(1): 33-40
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Bacteria,Bacteria,Proteobacteria,heterotroph,Escherichia coli,,,,,45,10,35,11,0.45,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,maximum doubling rate,"Bronikowski et al. (2001). Evolutionary adaptation to temperature. VIII. Effects of temperature on growth rate in natural isolates of Escherichia coli and Salmonella enterica from different thermal environments. Evolution: 55(1): 33-40
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Bacteria,Bacteria,Proteobacteria,heterotroph,Salmonella enterica,,,,,43,10,33,10,0.56,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,asexual reproduction rate,"Ma & Purcell. (2005). Effects of temperature, salinity, and predators on mortality of and colonization by the invasive hydrozoan Moerisia lyonsi. Marine Biology: 147(1): 215-244
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Marine,Invertebrates,Cnidarians,Hydrozoan,heterotroph,Moerisia lyonsi ,adult,,,,29,10,19,5,1.56,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Rose et al. (2009). Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. ISME Journal: 3(2): 252-260
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,,,,20,0,20,5,1.04,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,specific growth rate,"Caron et al. (1986). Effect of temperature on growth, respiration, and nutrient regeneration by an omnivorous microflagellate. Applied and Environmental Microbiology: 52(6): 1340-1347
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,,,,26,14,12,4,0.65,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Goldasteh et al. (2009). Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd). Archives of Biological Sciences: 61(2): 329-336
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Mealybug,heterotroph,Planococcus citri,adult,,,,32,18,14,7,1.18,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,0.74,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
