intercept,sigma2,parameter
0.410127081738085,0.018777450396361226,mortality_rate
0.47084707861064756,0.026717492856007125,mortality_rate
0.5723949872611359,0.028396679338433563,mortality_rate
0.33468441431988694,0.06810997835891945,mortality_rate
0.472889573983286,0.07122724237887271,mortality_rate
0.47217773991609274,0.01471447359446604,mortality_rate
0.5258022791154567,0.02331793171682822,mortality_rate
0.5982956697651718,0.06858411752388158,mortality_rate
0.5025434929627861,0.04069201691305509,mortality_rate
0.4849255576853314,0.028033200743312094,mortality_rate
0.5951516073206531,0.03433588258298265,mortality_rate
0.4093515834914647,0.045166642625848165,mortality_rate
0.5078752422479106,0.017931839147884054,mortality_rate
0.47391203527657505,0.024884052048497043,mortality_rate
0.4740014503847733,0.011856123517084967,mortality_rate
0.5696807293017467,0.03861584359308495,mortality_rate
0.5064793228612096,0.05245548250872251,mortality_rate
0.49170332494961255,0.00823093772432929,mortality_rate
0.3666553272112092,0.04324344073755647,mortality_rate
0.5986369759738427,0.02172248550270911,mortality_rate
0.3918068632578263,0.023020610580642933,mortality_rate
0.5930493642649408,0.032017850391917825,mortality_rate
0.5440670548133496,0.04888088307710452,mortality_rate
0.5137019892726318,0.062377780735182235,mortality_rate
0.5572563294636993,0.046207696178550695,mortality_rate
0.42784729753057327,0.021242537066766404,mortality_rate
0.516304201512016,0.01208805350392269,mortality_rate
0.5121998162221985,0.028692437130816272,mortality_rate
0.43929525494757676,0.0380252706775741,mortality_rate
0.5816407960131845,0.036148631956002854,mortality_rate
0.43699632174221503,0.03581776957932504,mortality_rate
0.45232955335022507,0.03531158996769655,mortality_rate
0.520973684709008,0.013986029911081244,mortality_rate
0.5645891328323388,0.02993417815557327,mortality_rate
0.6285558635588973,0.04283691395228037,mortality_rate
0.547383845716239,0.04203814919244365,mortality_rate
0.5564723502574388,0.0606048466784348,mortality_rate
0.4933440525288742,0.023341693741580575,mortality_rate
0.46747510940977755,0.0172628655196188,mortality_rate
0.46272824792281897,0.0249437446440445,mortality_rate
0.4351613510815578,0.02594314083560315,mortality_rate
0.6052650837368883,0.054662686604038474,mortality_rate
0.41315524086631467,0.07182924854117148,mortality_rate
0.4902913824359147,0.03145541944728847,mortality_rate
0.48640637720520025,0.06671968314848171,mortality_rate
0.5091400663587133,0.020286833343087694,mortality_rate
0.5131950831731668,0.03472101637154704,mortality_rate
0.3900164770394656,0.02920872929483149,mortality_rate
0.41409144158372946,0.016759467912295396,mortality_rate
0.45561426868565325,0.032682596467478134,mortality_rate
0.4318816827678318,0.020327198090659353,mortality_rate
0.4177959076474365,0.034914896727305376,mortality_rate
0.5446476057532315,0.022101146015753994,mortality_rate
0.39132021205900674,0.030808917423882125,mortality_rate
0.5409385703779482,0.025245621430060698,mortality_rate
0.42550462134055167,0.017235697396702804,mortality_rate
0.4478164294912873,0.022551669614916506,mortality_rate
0.5564047402807534,0.08679465720763269,mortality_rate
0.4680899909294576,0.022069411693681523,mortality_rate
0.4418490220204597,0.03599951187024079,mortality_rate
0.4937515590496732,0.07438853587501991,mortality_rate
0.6502511696573988,0.03630712385038495,mortality_rate
0.4455574738295942,0.05073783804105793,mortality_rate
0.4333754238551526,0.05022654448898642,mortality_rate
0.47503882807456427,0.028406097276307735,mortality_rate
0.42155233863470737,0.013359746151528552,mortality_rate
0.48766312806693846,0.03290028198043986,mortality_rate
0.508069002745489,0.01780781813284513,mortality_rate
0.41826087607407647,0.014454790288707145,mortality_rate
0.5260201648278794,0.020203976749097016,mortality_rate
0.5100759452761747,0.09618271091604294,mortality_rate
0.45067817230125773,0.025036044707449672,mortality_rate
0.4833295120205278,0.019401656954890236,mortality_rate
0.4775899311983378,0.028065600230950123,mortality_rate
0.5266943699454604,0.013131675947533629,mortality_rate
0.5291775564436595,0.01972396721033541,mortality_rate
0.4447369861764646,0.10318527920403114,mortality_rate
0.43476858267111207,0.017511248841881395,mortality_rate
0.4833564744577334,0.05498003833232052,mortality_rate
0.5400415069820366,0.019859985400793843,mortality_rate
0.5028571019916256,0.014987741496505445,mortality_rate
0.46175871946583213,0.017784087143603286,mortality_rate
0.5088343016517969,0.02100886239599249,mortality_rate
0.5764080038598588,0.01827654736099381,mortality_rate
0.3516505792776384,0.03871883212480623,mortality_rate
0.5733207800013413,0.10938576749486893,mortality_rate
0.47502161187877545,0.020188694836213737,mortality_rate
0.34532034354586705,0.02810975031937726,mortality_rate
0.45020890327137086,0.06051003091497699,mortality_rate
0.42775171663679773,0.019215132551306816,mortality_rate
0.4985934031879964,0.010429555348392561,mortality_rate
0.4949529632969715,0.015603295066030375,mortality_rate
0.4193598863525527,0.03499420553236856,mortality_rate
0.5769919912780267,0.03528140798780839,mortality_rate
0.5144103557630858,0.02514503798745237,mortality_rate
0.6183984925514663,0.02430086767834431,mortality_rate
0.43279244271796774,0.02643600876811028,mortality_rate
0.49204159045564294,0.014587445884059747,mortality_rate
0.507466340217212,0.017624590329478076,mortality_rate
0.480921918160814,0.009964800809665664,mortality_rate
0.5566989863065562,0.043506147458027514,mortality_rate
0.49131324990861225,0.010193268453790342,mortality_rate
0.47987232712371014,0.027464975819604987,mortality_rate
0.4423557097930952,0.02164060040357138,mortality_rate
0.6499264098625956,0.03512906291291296,mortality_rate
0.5231528498178633,0.04604979000362494,mortality_rate
0.48792737483464804,0.023417358908985886,mortality_rate
0.38574031186117363,0.016282591825296577,mortality_rate
0.536648791315344,0.02687708434962432,mortality_rate
0.44543863661296373,0.016964647868200945,mortality_rate
0.47435111267619845,0.014037633024450246,mortality_rate
0.5045464790077255,0.029821877593608395,mortality_rate
0.5339458777936281,0.040509399848194814,mortality_rate
0.4467467463723828,0.012142894912092477,mortality_rate
0.4355847814160294,0.025410605713467125,mortality_rate
0.499522887376237,0.024597989090523145,mortality_rate
0.536435309352479,0.022769229301547334,mortality_rate
0.5050253288407431,0.020674613677741645,mortality_rate
0.5222096589732729,0.01265057538377615,mortality_rate
0.5564988435872735,0.010004572555660122,mortality_rate
0.4870130947791095,0.024216448190254328,mortality_rate
0.47028638082972873,0.028263276796162144,mortality_rate
0.416554402765144,0.013340315001954383,mortality_rate
0.44789947336261177,0.026731020807433982,mortality_rate
0.5723529008068511,0.019927775414048596,mortality_rate
0.49856721969778955,0.022417825126020672,mortality_rate
0.4107477168625458,0.01057657815710091,mortality_rate
0.46402872888901653,0.012128294269573774,mortality_rate
0.5125867448971598,0.0236791119132245,mortality_rate
0.5053771263845549,0.01983344410962218,mortality_rate
0.49895098450734265,0.017459741509149865,mortality_rate
0.5675080092008027,0.04006129308620515,mortality_rate
0.5533507148991139,0.04611952685437759,mortality_rate
0.4234361982827193,0.022313623165999257,mortality_rate
0.5042114722707763,0.016916950823883878,mortality_rate
0.4494084149033586,0.016912114848729398,mortality_rate
0.4534784053453436,0.012606952964939643,mortality_rate
