cellularity,intercept,sigma2,parameter
multi,0.372766495858423,0.02266038503174429,mortality_rate
multi,0.4680701812137459,0.02443443431632463,mortality_rate
multi,0.500580927403458,0.01299257001706718,mortality_rate
multi,0.46537466702129726,0.03130199825248121,mortality_rate
multi,0.477317906508245,0.023622464375587703,mortality_rate
multi,0.45552173906795407,0.014075442948216344,mortality_rate
multi,0.4938695884132977,0.03951163149589229,mortality_rate
multi,0.446632732592444,0.008168662389971344,mortality_rate
multi,0.2756940105279958,0.036359478408297036,mortality_rate
multi,0.3771427629819222,0.10659657751255097,mortality_rate
multi,0.4782086785353397,0.06053751876613328,mortality_rate
multi,0.46626848661389375,0.02145095350374169,mortality_rate
multi,0.4497824013105761,0.035663258859298955,mortality_rate
multi,0.5765440081258635,0.02470246901212655,mortality_rate
multi,0.42761109562068694,0.027951996822397105,mortality_rate
multi,0.47700823465138337,0.02526935704442125,mortality_rate
multi,0.49744003782108454,0.029561958340982335,mortality_rate
multi,0.4933154466976392,0.017154676595852757,mortality_rate
multi,0.4784406063747356,0.023985871101222463,mortality_rate
multi,0.4126968491925588,0.021707049055437317,mortality_rate
multi,0.5426592521825211,0.02513062153307113,mortality_rate
multi,0.5541668857260762,0.01928749061997232,mortality_rate
multi,0.5627966347768573,0.0490127607382202,mortality_rate
multi,0.5694776801859124,0.031358318898203126,mortality_rate
multi,0.3673242093371424,0.034663065188294345,mortality_rate
multi,0.3951725126869806,0.09168219770150157,mortality_rate
multi,0.45227875828289676,0.14283613806320403,mortality_rate
multi,0.5437136323740921,0.04593652813431904,mortality_rate
multi,0.49361514784786714,0.015347472174165044,mortality_rate
multi,0.5113148132012725,0.013512960563768802,mortality_rate
multi,0.5530427736286176,0.028024928861254152,mortality_rate
multi,0.4956678007884446,0.02865945302044032,mortality_rate
multi,0.43604690480843994,0.019815905676323922,mortality_rate
multi,0.46371052239742894,0.020063695403676748,mortality_rate
multi,0.46010719069357064,0.03889550074047503,mortality_rate
multi,0.5830364501681968,0.016283167971167977,mortality_rate
multi,0.6381587400443594,0.022168478868867292,mortality_rate
multi,0.38993077169265544,0.03449057644395401,mortality_rate
multi,0.3827046818636609,0.047541993866954936,mortality_rate
multi,0.45859108282436745,0.030336379298190434,mortality_rate
multi,0.5468925059997432,0.013284531232898642,mortality_rate
multi,0.57811080110466,0.014169123348678762,mortality_rate
multi,0.5425002904756979,0.021758266400142345,mortality_rate
multi,0.410127081738085,0.018777450396361226,mortality_rate
multi,0.47084707861064756,0.026717492856007125,mortality_rate
multi,0.5723949872611359,0.028396679338433563,mortality_rate
multi,0.33468441431988694,0.06810997835891945,mortality_rate
multi,0.472889573983286,0.07122724237887271,mortality_rate
multi,0.47217773991609274,0.01471447359446604,mortality_rate
multi,0.5258022791154567,0.02331793171682822,mortality_rate
multi,0.5982956697651718,0.06858411752388158,mortality_rate
multi,0.5025434929627861,0.04069201691305509,mortality_rate
multi,0.4849255576853314,0.028033200743312094,mortality_rate
multi,0.5951516073206531,0.03433588258298265,mortality_rate
multi,0.4093515834914647,0.045166642625848165,mortality_rate
multi,0.5078752422479106,0.017931839147884054,mortality_rate
multi,0.47391203527657505,0.024884052048497043,mortality_rate
multi,0.4740014503847733,0.011856123517084967,mortality_rate
multi,0.5696807293017467,0.03861584359308495,mortality_rate
multi,0.5064793228612096,0.05245548250872251,mortality_rate
multi,0.49170332494961255,0.00823093772432929,mortality_rate
multi,0.3666553272112092,0.04324344073755647,mortality_rate
multi,0.5986369759738427,0.02172248550270911,mortality_rate
multi,0.3918068632578263,0.023020610580642933,mortality_rate
multi,0.5930493642649408,0.032017850391917825,mortality_rate
multi,0.5440670548133496,0.04888088307710452,mortality_rate
multi,0.5137019892726318,0.062377780735182235,mortality_rate
multi,0.5572563294636993,0.046207696178550695,mortality_rate
multi,0.42784729753057327,0.021242537066766404,mortality_rate
multi,0.516304201512016,0.01208805350392269,mortality_rate
multi,0.5121998162221985,0.028692437130816272,mortality_rate
multi,0.43929525494757676,0.0380252706775741,mortality_rate
multi,0.5816407960131845,0.036148631956002854,mortality_rate
multi,0.43699632174221503,0.03581776957932504,mortality_rate
multi,0.45232955335022507,0.03531158996769655,mortality_rate
multi,0.520973684709008,0.013986029911081244,mortality_rate
multi,0.5645891328323388,0.02993417815557327,mortality_rate
multi,0.6285558635588973,0.04283691395228037,mortality_rate
multi,0.547383845716239,0.04203814919244365,mortality_rate
multi,0.5564723502574388,0.0606048466784348,mortality_rate
multi,0.4933440525288742,0.023341693741580575,mortality_rate
multi,0.46747510940977755,0.0172628655196188,mortality_rate
multi,0.46272824792281897,0.0249437446440445,mortality_rate
multi,0.4351613510815578,0.02594314083560315,mortality_rate
multi,0.6052650837368883,0.054662686604038474,mortality_rate
multi,0.41315524086631467,0.07182924854117148,mortality_rate
multi,0.4902913824359147,0.03145541944728847,mortality_rate
multi,0.48640637720520025,0.06671968314848171,mortality_rate
multi,0.5091400663587133,0.020286833343087694,mortality_rate
multi,0.5131950831731668,0.03472101637154704,mortality_rate
multi,0.3900164770394656,0.02920872929483149,mortality_rate
multi,0.41409144158372946,0.016759467912295396,mortality_rate
multi,0.45561426868565325,0.032682596467478134,mortality_rate
multi,0.4318816827678318,0.020327198090659353,mortality_rate
multi,0.4177959076474365,0.034914896727305376,mortality_rate
multi,0.5446476057532315,0.022101146015753994,mortality_rate
multi,0.39132021205900674,0.030808917423882125,mortality_rate
multi,0.5409385703779482,0.025245621430060698,mortality_rate
multi,0.42550462134055167,0.017235697396702804,mortality_rate
multi,0.4478164294912873,0.022551669614916506,mortality_rate
multi,0.5564047402807534,0.08679465720763269,mortality_rate
multi,0.4680899909294576,0.022069411693681523,mortality_rate
multi,0.4418490220204597,0.03599951187024079,mortality_rate
multi,0.4937515590496732,0.07438853587501991,mortality_rate
multi,0.6502511696573988,0.03630712385038495,mortality_rate
multi,0.4455574738295942,0.05073783804105793,mortality_rate
multi,0.4333754238551526,0.05022654448898642,mortality_rate
multi,0.47503882807456427,0.028406097276307735,mortality_rate
multi,0.42155233863470737,0.013359746151528552,mortality_rate
multi,0.48766312806693846,0.03290028198043986,mortality_rate
multi,0.508069002745489,0.01780781813284513,mortality_rate
multi,0.41826087607407647,0.014454790288707145,mortality_rate
multi,0.5260201648278794,0.020203976749097016,mortality_rate
multi,0.5100759452761747,0.09618271091604294,mortality_rate
multi,0.45067817230125773,0.025036044707449672,mortality_rate
multi,0.4833295120205278,0.019401656954890236,mortality_rate
multi,0.4775899311983378,0.028065600230950123,mortality_rate
multi,0.5266943699454604,0.013131675947533629,mortality_rate
multi,0.5291775564436595,0.01972396721033541,mortality_rate
multi,0.4447369861764646,0.10318527920403114,mortality_rate
multi,0.43476858267111207,0.017511248841881395,mortality_rate
multi,0.4833564744577334,0.05498003833232052,mortality_rate
multi,0.5400415069820366,0.019859985400793843,mortality_rate
multi,0.5028571019916256,0.014987741496505445,mortality_rate
multi,0.46175871946583213,0.017784087143603286,mortality_rate
multi,0.5088343016517969,0.02100886239599249,mortality_rate
multi,0.5764080038598588,0.01827654736099381,mortality_rate
multi,0.3516505792776384,0.03871883212480623,mortality_rate
multi,0.5733207800013413,0.10938576749486893,mortality_rate
