trophy,intercept,sigma2,parameter
heterotroph,0.372766495858423,0.02266038503174429,mortality_rate
heterotroph,0.4680701812137459,0.02443443431632463,mortality_rate
heterotroph,0.500580927403458,0.01299257001706718,mortality_rate
heterotroph,0.46537466702129726,0.03130199825248121,mortality_rate
heterotroph,0.477317906508245,0.023622464375587703,mortality_rate
heterotroph,0.45552173906795407,0.014075442948216344,mortality_rate
heterotroph,0.4938695884132977,0.03951163149589229,mortality_rate
heterotroph,0.446632732592444,0.008168662389971344,mortality_rate
heterotroph,0.2756940105279958,0.036359478408297036,mortality_rate
heterotroph,0.3771427629819222,0.10659657751255097,mortality_rate
heterotroph,0.4782086785353397,0.06053751876613328,mortality_rate
heterotroph,0.46626848661389375,0.02145095350374169,mortality_rate
heterotroph,0.4497824013105761,0.035663258859298955,mortality_rate
heterotroph,0.5765440081258635,0.02470246901212655,mortality_rate
heterotroph,0.42761109562068694,0.027951996822397105,mortality_rate
heterotroph,0.47700823465138337,0.02526935704442125,mortality_rate
heterotroph,0.49744003782108454,0.029561958340982335,mortality_rate
heterotroph,0.4933154466976392,0.017154676595852757,mortality_rate
heterotroph,0.4784406063747356,0.023985871101222463,mortality_rate
heterotroph,0.4126968491925588,0.021707049055437317,mortality_rate
heterotroph,0.5426592521825211,0.02513062153307113,mortality_rate
heterotroph,0.5541668857260762,0.01928749061997232,mortality_rate
heterotroph,0.5627966347768573,0.0490127607382202,mortality_rate
heterotroph,0.5694776801859124,0.031358318898203126,mortality_rate
heterotroph,0.3673242093371424,0.034663065188294345,mortality_rate
heterotroph,0.3951725126869806,0.09168219770150157,mortality_rate
heterotroph,0.45227875828289676,0.14283613806320403,mortality_rate
heterotroph,0.5437136323740921,0.04593652813431904,mortality_rate
heterotroph,0.49361514784786714,0.015347472174165044,mortality_rate
heterotroph,0.5113148132012725,0.013512960563768802,mortality_rate
heterotroph,0.5530427736286176,0.028024928861254152,mortality_rate
heterotroph,0.4956678007884446,0.02865945302044032,mortality_rate
heterotroph,0.43604690480843994,0.019815905676323922,mortality_rate
heterotroph,0.46371052239742894,0.020063695403676748,mortality_rate
heterotroph,0.46010719069357064,0.03889550074047503,mortality_rate
heterotroph,0.5830364501681968,0.016283167971167977,mortality_rate
heterotroph,0.6381587400443594,0.022168478868867292,mortality_rate
heterotroph,0.38993077169265544,0.03449057644395401,mortality_rate
heterotroph,0.3827046818636609,0.047541993866954936,mortality_rate
heterotroph,0.45859108282436745,0.030336379298190434,mortality_rate
heterotroph,0.5468925059997432,0.013284531232898642,mortality_rate
heterotroph,0.57811080110466,0.014169123348678762,mortality_rate
heterotroph,0.5425002904756979,0.021758266400142345,mortality_rate
heterotroph,0.410127081738085,0.018777450396361226,mortality_rate
heterotroph,0.47084707861064756,0.026717492856007125,mortality_rate
heterotroph,0.5723949872611359,0.028396679338433563,mortality_rate
heterotroph,0.33468441431988694,0.06810997835891945,mortality_rate
heterotroph,0.472889573983286,0.07122724237887271,mortality_rate
heterotroph,0.47217773991609274,0.01471447359446604,mortality_rate
heterotroph,0.5258022791154567,0.02331793171682822,mortality_rate
heterotroph,0.5982956697651718,0.06858411752388158,mortality_rate
heterotroph,0.5025434929627861,0.04069201691305509,mortality_rate
heterotroph,0.4849255576853314,0.028033200743312094,mortality_rate
heterotroph,0.5951516073206531,0.03433588258298265,mortality_rate
heterotroph,0.4093515834914647,0.045166642625848165,mortality_rate
heterotroph,0.5078752422479106,0.017931839147884054,mortality_rate
heterotroph,0.47391203527657505,0.024884052048497043,mortality_rate
heterotroph,0.4740014503847733,0.011856123517084967,mortality_rate
heterotroph,0.5696807293017467,0.03861584359308495,mortality_rate
heterotroph,0.5064793228612096,0.05245548250872251,mortality_rate
heterotroph,0.49170332494961255,0.00823093772432929,mortality_rate
heterotroph,0.3666553272112092,0.04324344073755647,mortality_rate
heterotroph,0.5986369759738427,0.02172248550270911,mortality_rate
heterotroph,0.3918068632578263,0.023020610580642933,mortality_rate
heterotroph,0.5930493642649408,0.032017850391917825,mortality_rate
heterotroph,0.5440670548133496,0.04888088307710452,mortality_rate
heterotroph,0.5137019892726318,0.062377780735182235,mortality_rate
heterotroph,0.5572563294636993,0.046207696178550695,mortality_rate
heterotroph,0.42784729753057327,0.021242537066766404,mortality_rate
heterotroph,0.516304201512016,0.01208805350392269,mortality_rate
heterotroph,0.5121998162221985,0.028692437130816272,mortality_rate
heterotroph,0.43929525494757676,0.0380252706775741,mortality_rate
heterotroph,0.5816407960131845,0.036148631956002854,mortality_rate
heterotroph,0.43699632174221503,0.03581776957932504,mortality_rate
heterotroph,0.45232955335022507,0.03531158996769655,mortality_rate
